,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"609,Senior Backend Python Developer (MTS AI),""ПАО «МТС», IT"",Санкт-Петербург,Не указанн,Не указанн,Не указанно,Реализовывать высоконагруженный бэкенд системы. Взаимодействовать с ML-инженерами с целью оптимальной интеграции ML-сервисов в архитектуру продукта. Интеграция со СКУД...,Отличное знание Python 3.8+ и asyncio. Хорошее знание классических алгоритмов и структур данных. Знакомство с Kubernetes и понимание...";
"610,Data Engineer (GoLang Developer),Wisebits,Батуми,4000,Не указанн,[' EUR'],""Выполнять эпизодические задачи на анализ данных. ETL, разработка сервисов сбора, хранения и доступа к статистике и данным. Оптимизация/создание pipeline..."",Хорошие знания и опыт работы с Golang и ClickHouse. Опыт разработки от 3-х лет. Опыт работы с NoSql. ";
"611,Senior Python-разработчик (Рекомендательная система),Rambler&Co,Москва,Не указанн,Не указанн,Не указанно,""Поддержкой и развитием highload API (aiohttp, redis cluster). Сейчас держим 1к rps, целевая нагрузка ~8к rps. "",Опыт использования Python от двух лет. Знание базовых алгоритмов и структур данных. Опыт работы с веб-фреймворками для Python. ";
"612,Analyst/Data science,AliExpress Россия,Москва,Не указанн,Не указанн,Не указанно,""Умеете работать с алгоритмами из классического ML (регрессии, деревья решений, градиентный бустинг и т.д.) и соответствующими инструментами в Python..."",""Владеете ключевыми понятиями в статистике (доверительные интервалы, статистические тесты и т.д.). Умеете писать сложные и хорошо оптимизированные SQL-запросы.""";
"613,Senior Python Engineer (remote),NeoCrypto,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Работа с product managers и аналитиками данных, а также анализ бизнес требований к решению. Разработка клиентских и серверных частей сложных..."",""Имеешь опыт работы в Python 3, Fastapi, PostgreSQL, Redis 6, Pydantic, SQLAlchemy, Alembic. Не понаслышке знаешь про объектно-ориентированное программирование. """;
"614,Data scientist,Банки.ру,""Москва, Нахимовский проспект"",Не указанн,Не указанн,Не указанно,""Сбор данных, выбор модели, тестирование, внедрение. Построение алгоритмов Next Best Action, Uplift. Исследование данных (ad-hoc аналитика, сегментация/кластеризация). "",""Уверенное владение Python и SQL. Знание ML (алгоритмы, метрики) и опыт работы с ML-библиотеками. Знание классических алгоритмов и структур...""";
"615,Data scientist (NLP),""Компания «СПОРТМАСТЕР», Sportmaster Lab"",""Москва, Аэропорт"",Не указанн,Не указанн,Не указанно,""Решать задачи определения тематики входного обращения клиента (multi-class text classification), выделения сущностей из текстов (named-entity recognition), транскрибации (speech..."",""Уверенное знание математической статистики, умение применять для решения задач. Базовое знание SQL. Уверенное владение Python (библиотеки работы с данными). """;
616,Data Engineer (DWH),PARI,Москва,200000,Не указанн,[' руб.'],Разработка и развитие DWH как платформы на GreenPlum. Разработка новых и поддержка/оптимизация текущих ETL-процессов в DWH. ,Опыт разработки сложных высоконагруженных витрин данных SQL(Clickhouse + GreenPlum + BigQuery). Уверенное владение Python. БУДЕТ ПЛЮСОМ: Понимание принципов и...;
"617,Middle backend developer (Python),СберМаркет,Москва,Не указанн,Не указанн,Не указанно,Реализовывать высоконагруженные сервисы для обеспечения внутренних нужд компании. Интегрироваться с различными сервисами/системами. Оптимизировать и улучшать быстродействие сервисов. ,""Опыт разработки высоконагруженных систем более 3-х лет. Отличные знания Python 3. Понимание принципов ООП и шаблонов проектирования, знакомство с...""";
"618,Senior/Lead Python-разработчик,Контур,Омск,Не указанн,Не указанн,Не указанно,""Задачи с высоким уровнем ответственности: предстоит проектировать архитектуру, реализовывать бизнес-логику, самостоятельно принимать решения, запускать сервисы с необходимым уровнем качества. "",""Гибкость: продукты Контура постоянно адаптируются под рынок и пользователей, нужно уметь работать в меняющихся условиях.""";
"619,""Программист (Web, php, Python)"",ООО ЭКСПРЕСС,""Самара, Кировская"",30000,150000,[' руб.'],""Разработка мобильных Web приложений. Обязанности: - Разработка Web-приложений и микросервисов, мобильных приложений. - Тестирование и отладка ПО. - Создание рабочих прототипов и..."",""Знание и понимание принципов работы OS Linux. - Понимание асинхронного программирования. - Знание Python или РнР, работа с базами данных (Postgres, MySQL...""";
620,Программист Python,ООО ЧК ARTEMIS LTD.,Астана,1000000,1700000,[' KZT'],Развитие текущих и разработка новых сервисов. Анализ бизнес-требований. Разработка бизнес-логики приложений в виде RESTful сервисов. Участие в проектировании...,Уверенное знание Python 2/3 от 3 лет. Опыт разработки Django. Опыт разработки RESTful backend на Python 3. ;
"621,Преподаватель по программированию Python,ИП Descartes Kazakhstan,""Алматы, Байконур"",3500,7000,[' KZT'],Ведение занятий и мастер-классов по программированию в «Инжинириум МГТУ им. Н.Э. Баумана». Подготовка обучающихся к различным конкурсам и...,""Python: Знание базовых алгоритмов и структур данных, Python (все версии выше 3.0), ООП, SQLite, Git (GitHub). Работа в Google...""";
"622,Преподаватель по Python,ООО Mars IT School,Ташкент,5000000,12000000,[' сум'],Описание отсутствует,""Целеустремленная команда. Требование и навыки: - Опыт от 1 года. - Владение Рус-Узб языками на хорошем уровне(Разговорный). - Пунктуальность, ответственность";" - Python..."""
623,Python Middle/Senior разработчика,ТОО Sapona inc,Алматы,Не указанн,Не указанн,Не указанно,Система распознавания лиц (HOG). Распознавание эмоций и движений головой (на существующих библиотеках). Вывод данных через Web интерфейс.,Требования к соискателю не указанны;
"624,Backend Python Developer,ТОО Dreamlab Technologies Ltd,Астана,200000,400000,[' KZT'],Разработка web части сайтов на Django. - Разработка REST сервисов на DRF. - Разработка Async сервисов. - Разработка клиентов для работы со сторонними...,""Понимание или опыт работы с Frontend фреймворками. - Понимание асинхронности (async-await, asyncIO). Умение, и главное, желание создавать pythonic code. """;
"625,Python developer,ООО Kash APP,Ташкент,8000000,18000000,[' сум'],""Road24ni takomillashtirish va uni """"horizontal scaling"""" arhitekturasiga olib kelish rejalashtiriligan. Shu kabi ish qilgan dasturchi qidirilmoqda. "",""SQL so'rovlarini yozish, PostgreSQL, bilan ishlash va sozlash tajribasi. - Python, Django va\yoki boshqa framework bilan 3 yil real...""";
"626,IT разработчик,ТОО Алатау сапа құрылыс,Алматы,Не указанн,Не указанн,Не указанно,""Разработка скриптов, автоматизация процессов. Доработка ПО. Поддержка сервисов и продуктов."",""Опыт работы на Python, JavaScript, Selenium WebDriver. На договорной основе.""";
"627,Python разработчик / учитель,ИП Абдрали,Шымкент,120000,150000,[' руб.'],Обеспечивать реализацию преподаваемых учебных предметов в соответствии с рабочей программой. Соблюдать устав образовательной организации и правила внутреннего трудового распорядка. ,""Развивать у обучающихся познавательную активность и творческие способности. Применять педагогически обоснованные формы, методы обучения и воспитания.""";
628,Backend разработчик,Nextgen IT,Самарканд,3000000,10000000,[' сум'],Разработка back-end на Python (Django). Написание документации. Поддержка существующего проекта.,Опыт работы с системами контроля версий Git. Понимание базовых паттернов разработки. Опыт работы с реляционными базами данных и ORM. ;
"629,Педагог (IT направления)/специалист технической поддержки,ИП Пасеева,Батуми,Не указанн,Не указанн,Не указанно,""Инструктирование во время занятия и поддержка в творческом развитии детей. #программирование (scratch, java, python, C++, web-дизайн и др.)."",""Ответственность, готовность обучать и желание саморазвития.""";
"630,Инженер по автоматизации,ООО Авентус ИТ,Минск,Не указанн,Не указанн,Не указанно,Сопровождение и развитие прочих корпоративных сервисов. − Рефакторинг и сопровождение существующих чат-ботов (Python) и написание новых. − Участие в написании новых...,""Опыт администрирования GitLab. − Опыт работы с Ansible. − Опыт программирования на Python. − Понимание принципов виртуализации/контейнеризации, навыки администрирования. Docker. """;
"631,Исследователь - аналитик,ООО Freedom Finace Publishing,Ташкент,Не указанн,Не указанн,Не указанно,""Проведение опросов на экономическую тематику, полный цикл от формулирования гипотез и разработки анкеты до анализа данных и написания отчетов. — "",""Владение программами и пакетами обработки данных (SPSS, R, Python, Excel). — английский язык на уровне умения читать специальную литературу. — """;
632,Python Senior Developer,Itransition,Астана,Не указанн,Не указанн,Не указанно,Описание отсутствует,3+ years of experience in IT. Experience in Python web development within Fast API framework with async requests. ;
633,Дата-инженер (Data-engineer),ТОО INTER SAT,Астана,200000,400000,[' KZT'],Анализ данных. Подготовка сложных выгрузок с использованием SQL и Python. Разработка ETL- процессов. Разработка структуры данных в колончатой СУБД (курирование...,Опыт работы с различными БД. Владение Python и/или Java. Знание и понимание алгоритмов и принципов обработки данных. ;
"634,""Преподаватель по программированию, город Конаев (Капчагай)"",ИП 21. july,Алматы,150000,200000,[' KZT'],Проведение занятий в группе. Готовые уроки.,""Знание языка программирования Python, блочное программирование. Наличие ноутбука. Любовь к детям и умение находить подход к каждому. Ответственный подход к...""";
"635,Backend - Python+Django Senior dasturchisi,ООО INSON RESURSLARINI BOSHQARISH,Ташкент,15000000,20000000,[' сум'],Tartib-intizomga mas'uliyat bilan yondashishi. Kompaniyani o'z oilasidek qabul qilishi. Kompyuter uskunalari bilan ta'minlanganlik. Juda sodiq auditoriya...,""Jamoa bilan ishlash, Front-end, Mobile va Design jamoasi bilan o'zaromuloqatda bo’lish. Python 3, Dango, PEP8, SQL...""";
"636,Преподаватель по программированию,ALFA SCHOOL,Чирчик,6000000,10000000,[' сум'],Проводить уроки ученикам частной школы/учебного центра по Веб-Программированию/Python (на выбор).,""Знание HTML, CSS, JS ИЛИ PYTHON. Умение преподавать.""";
637,Преподаватель по программированию,ТОО Development Technologies Ltd,Астана,72000,400000,[' KZT'],Обучение и воспитание обучающихся с учетом специфик предмета информатики и возраста обучающихся. Обеспечение режима соблюдения норм и правил техники безопасности...,Требования к соискателю не указанны;
"638,Системный администратор / Инженер VoIP,ТОО BMI bots,Астана,350000,550000,[' KZT'],""Администрирование серверной инфраструктуры на базе Linux состоящей из облачных ресурсов (Amazon, Yandex), """"железных"""" серверов и телекоммуникационного оборудования. Администрирование VoIP инфраструктуры. "",Есть опыт автоматизации настроек программных решений. Имеете опыт программирования и автоматизации - Python/Bash. Работали с с soft-switch 4/5...";
"639,Middle/Senior Python Developer,ИП Романенко А.С.,Гомель,7000,10000,[' бел.\xa0руб.'],""Алгоритмизация поведения (баны, фильтры, триггеры получения бонусов). Написание собственных продуктов."",Способностью освобождать от привычных CMS (Django). Уважение религии REST. Повышенной скоростью и силой парсинга. Ночным зрением для работы с Postgre...";
"640,Middle/Senior Python Developer (Platform Virtualization),Cloud,Москва,Не указанн,Не указанн,Не указанно,""Разработка и поддержкой высоконагруженных сервисов и микросервисов. Написание юнит-тестов и тестирование собственного кода на соответствие критериям, принятым на проекте. "",""Опыт коммерческой разработки на Python от 3 лет. Понимание ООП, паттернов проектирования и алгоритмов. Умение работать с асинхронным кодом. """;
"641,QA Automation engineer (Python),IBS,Уфа,Не указанн,Не указанн,Не указанно,""Разработка / актуализация авто-тестов в рамках фреймворка автоматизации. Поддержка / развитие решения автоматизированного тестирования. Разработка вспомогательных скриптов. Анализ результатов тестирования, при..."",""Опыт работы c Python от полугода. Опыт работы с Pytest, Postman, Swagger. Знания принципов работы и применения принципов ООП. """;
"642,Research Developer (Performance Analysis - Windows),Лаборатория Касперского,""Москва, Водный стадион"",Не указанн,Не указанн,Не указанно,""Поиск неоптимальностей в работе наших продуктов, исследовать сложные случаи подтормаживаний и лагов, предлагать улучшения архитектуры и алгоритмов, участвовать в создании..."",""Умение работать с огромным количеством чужого кода. Знание С/С++, Python(желательно). Опыт разработки под Windows. Что желательно уметь: Опыт...""";
"643,Lead / Senior Python developer,NETRIKA,Санкт-Петербург,Не указанн,Не указанн,Не указанно,Проектирование архитектуры проекта. Разработка и внедрение нового функционала. Оптимизация процессов разработки. Оценка сроков выполнения задач. Код-ревью и наставничество.,""Опыт разработки Python/Django/REST Framework от 3-х лет. Знание SQL (Postgres), опыт оптимизации запросов. Понимание принципов работы web...""";
"644,Data-инженер,Тинькофф,Саратов,Не указанн,Не указанн,Не указанно,Участие в разработке ядра продуктов Data Platform. Разработка и оптимизация процессов выгрузки данных.,""Знание одного из языков программирования: Python, Java, Go. Знание основ ООП, теории алгоритмов, структур данных. Знание SQL. Опыт написания процессов...""";
"645,Python/GO TeamLead,Газпром нефть,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Лидировать команду Backend разработки с точки зрения технической реализации и архитектурных решений. Быть готовым к большому количеству документации, ее написанию..."",""Опыт работы в роли Python/Golang backend team-lead более 3 лет. Работа с AMQP брокерами: RabbitMQ, Redis, Nats для...""";
"646,Data Engineer,Rubbles,Москва,200000,Не указанн,[' руб.'],""Разработка и развитие платформы прогнозирования – архитектура и реализация инструментов для построения ML-пайплайнов (подготовка данных, сбор фичей, обучение моделей, применение..."",""Уверенные знания Python 3.7 + Spark 2.4 / Spark 3.0 (структуры данных, алгоритмы, концепции языка). Уверенные знания SQL...""";
"647,Backend developer,""Hello, Doc!"",Москва,Не указанн,Не указанн,Не указанно,""Написание юнит-тестов. - Документирование реализованного функционала. - Интеграция со вспомогательными сервисами (платежный шлюз, СМС-шлюз). - Участие в разработке архитектуры приложения."",""Реализация методов API на Django Rest Framework для мобильного приложения. - Твердое знание Python 3, Django Rest Framework, SQL, HTTP. - """;
"648,Дата инженер (Data engineer) Управление модельных рисков и валидации,Банк ВТБ (ПАО),Москва,Не указанн,Не указанн,Не указанно,""...помощью Python. Построение витрин данных (SQL, Python). Преобразование данных из различных форматов (xml, json) к табличному виду с помощью Python. "",""Опыт работы в ИТ компаниях, подразделениях ИТ или рисков банка от 1 года. Уверенные знания SQL, Python. Знание PySpark как...""";
"649,Data analyst (middle/senior),Сбер. IT,""Москва, Кутузовская и еще 1 "",Не указанн,Не указанн,Не указанно,""Работа с результатами работы NLP моделей(анализ классификации, выдвижение гипотез, разбор ошибок). — Проведение А/Б экспериментов. — Разработка инструментов аналитики и..."",""Опыт работы с различными источниками данных, в том числе с базами данных (sql). — Уверенное знание python для задач DA. — """;
"650,Middle Data Scientist (Big Data),""ОТП Банк, АО (OTP bank)"",""Москва, Балтийская и еще 1 "",200000,250000,[' руб.'],""Проведение Proof-of-Concept по возможности построения моделей, решающих конкретные бизнес-задачи (например, подтвердить возможность выделение из разговора с клиентом..."",""Уверенное владение sql (Oracle/PostgreSQL). Классический стек на python (pandas, numpy, sklearn, xgboost, etc.) и хотя бы один DL-framework...""";
"651,ML-engineer (ranking and recs),Циан,Москва,Не указанн,Не указанн,Не указанно,Построение моделей ранжирования с учетом монетизации объявлений. Развитие моделей персональных рекомендаций. Построение моделей склонности пользователя к использованию конкретных сервисов. ,""Пишет легко читаемый и поддерживаемый код на Python. Имеет продвинутый уровень в SQL: оконные функции, оптимизация запросов. Имеет опыт в...""";
"652,Инженер DevOps,""АО «Полиметалл»,Полиметалл Управляющая компания"",Санкт-Петербург,Не указанн,Не указанн,Не указанно,Техническое обеспечение процесса разработки (DevOps) для системы автоматизированной диспетчеризации горных работ. Участие в развитии системы.,Опыт работы с Unix/Linux системами. Базовые знания SQL. Программирование на python. Опыт написания bash скриптов. Опыт разворачивания сервисов в...";
"653,Middle/Senior python developer,АО К-ТЕХНОЛОГИИ,Москва,Не указанн,Не указанн,Не указанно,""Командная web-разработка, программирование. Разработка, code review, рефакторинг кода. Сопровождение и документирование написанного кода. Участие в проектировании систем. "",Понимание принципов ООП. Хорошее знание Python 3. Понимание DjangoORM и миграций. Умение создавать API для front-end. Навыки написания юнит...";
"654,Backend разработчик (офис),ООО НЬЮЭРАМЕДИА,""Москва, Деловой центр"",80000,400000,[' руб.'],Разработка API. Разработка архитектурных решений действующего проекта. Интеграции с внешними сервисами. Работа с базами данных PostgreSQL.,Коммерческий опыт разработки Python от 1 года. Либо коммерческий опыт от 6 месяцев на Python при общем опыте более 1...";
"655,DevOps-инженер/ Специалист по IT безопасности,ООО Центр Развития Технологий,""Москва, Выставочная и еще 3 "",350000,400000,[' руб.'],""Автоматизация развертывания приложений, написание пайплайнов, плейбуков ansible, подготовка окружений, создание докер-образов python и go приложений, настройка кластеров, перенос приложений..."",Навыки: Знание Linux на уровне системного администратор. Будет плюсом: Владение bash или python для написания скриптов. Опыт администрирования сетевого оборудования...";
656,Senior Data Scientist/ML Engineer SberDevices,СБЕР,Москва,Не указанн,Не указанн,Не указанно,Участие в разработке поискового движка. Разработка и оптимизация алгоритмов машинного обучения. Внедрение в продакшн ML решений.,Уверенное владение Python на рабочем уровне. Хорошее знание классических алгоритмов и структур данных. Базовые знания и желание развиваться в области...;
"657,Data scientist,""ПАО МегаФон, IT"",""Москва, Маяковская и еще 2 "",Не указанн,Не указанн,Не указанно,""Продвижение кредитно-платежных продуктов (кредитные продукты, рисковые скоринги, автоплатежи и т.д.). Сохранение абонентской базы, в том числе задача сокращение..."",""Знание инструментов анализа данных, библиотек машинного обучения Python. Опыт работы с Hadoop будет плюсом. Опыт работы в области Data Science...""";
658,Middle+/Senior Data Scientist (Marketplace Efficiency),Dostavista.ru служба доставки,Москва,280000,Не указанн,[' руб.'],оптимальное распределение заказов и курьеров по городу. - динамическое ценообразование. - маршрутизация. - понимаете все этапы разработки. - болеете за результат и готовы к...,имеете высшее техническое образование. - больше 2 лет опыта работы в области Data Science. - есть опыт построения моделей машинного обучения. - ;
"659,Data Engineer,АО Гринатом,Москва,Не указанн,Не указанн,Не указанно,Участие в разработке и проектировании интеграционных решений. Разработка интеграционных сценариев в Атом.Мост (Apache NiFi). Участие в масштабных проектах импортозамещения ГК...,""Опыт оптимизации производительности Apache NiFi. Опыт разработки на скриптовых языках – groovy, python. Навыки работы в linux. Будет плюсом: Опыт эксплуатации...""";
"660,Data Engineer (GoLang Developer),Wisebits,Сербия,4000,Не указанн,[' EUR'],""Выполнять эпизодические задачи на анализ данных. ETL, разработка сервисов сбора, хранения и доступа к статистике и данным. Оптимизация/создание pipeline..."",Хорошие знания и опыт работы с Golang и ClickHouse. Опыт разработки от 3-х лет. Опыт работы с NoSql. ";
661,DevOps / Релиз-инженер,Бэнкс Софт Системс,Санкт-Петербург,Не указанн,Не указанн,Не указанно,Подготовка и сборка релизов. Разработка инсталляционных rpm-пакетов. Сборка docker-контейнеров. Доработка и развитие веб-сервисной архитектуры. Обеспечение нефункциональных требований...,Хорошее знание языка Python и опыт программирования (3+ лет). Участие в промышленной веб-разработке (3+ лет). ;
"662,Программист CV на С++,InteGo,Москва,170000,Не указанн,[' руб.'],""Продукт с которым предстоит работать представляет собой модульную многопоточную real-time систему с управляющим ядром, написанную на языке C++. "",""Владение Linux на уровне опытного пользования, реально быть с Linux на """"ты"""".  Базовое владение Python.  Знание STL, знакомство с Boost.  """;
"663,QA Auto инженер (Python + Selenium),IBS,Москва,Не указанн,Не указанн,Не указанно,""Разработка автотестов ( Web UI, API, DB ) на Selenium и инструментов для автоматизации. Развитие и поддержание существующих тестов. Взаимодействие с командой..."",Знание фреймворка Pytest от 1 года. (Python версия от 3.6 и выше). Опыт работы с Selenium или аналогичными инструментами...";
"664,Python Middle developer департамент Интеграции (MTS AI),""ПАО «МТС», IT"",""Москва, Курская и еще 2 "",Не указанн,Не указанн,Не указанно,""Интеграция наших продуктов и решений в интерфейс заказчиков, как внутренних, так и внешних."",""Имеет коммерческий опыт работы минимум от 2,5 лет на Python-Django/Flask, но знаком и с другими с серверными...""";
"665,DevOps инженер,TEAM 73,Ростов-на-Дону,200000,Не указанн,[' руб.'],""Поддерживать инфраструктуру проекта с использованием Ansible. - Автоматизировать процессы CI/CD. - Поддержка и развитие мониторинга инфраструктуры, привнесение проактивности. Деплоим в контейнерах..."",""Знание скриптовых языков (bash). - Умение декомпозировать задачи. - Знание Linux. - Опыт работы с Docker, GitLab CI/CD/Container Regitry. """;
"666,""Software Development Engineer in Test (SDET) [Python, Linux]"",Лаборатория Касперского,Москва,Не указанн,Не указанн,Не указанно,""Ревью и анализ требований, тест-дизайн и создание тестовых сценариев. Автоматизация тестовых сценариев на python + pytest. Настройка и поддержка..."",""Технологии: TCP/IP (wireshark, tcpdump). SQL (PostgreSQL). Selenium Webdriver. Уровень погружения в эти технологии может быть разным, но желание узнать...""";
"667,Python Developer,Andersen,Тбилиси,Не указанн,Не указанн,Не указанно,""Expanding the capabilities of the current development team, the day-to-day execution of BU (Business as Usual). "",Experience in Python development for 4+ years. Experience with FastAPI and Falcon frameworks. Experience with PostgreSQL for 2+...";
"668,Data Scientist,ООО БиАйЭй-Технолоджиз,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Прогнозирование спроса, эластичность спроса по цене. Поиск фрода. Вероятность ухода клиента. Раннее обнаружение аномалий по датчикам. Скоринговая модель. "",Знание ML методов. Отличное знание Python или R или Matlab. Знание SQL. Знание математической статистики. КОММЕРЧЕСКИЙ ОПЫТ работы data scientist...";
"669,ML-engineer,СИНЕРГИЯ,Москва,Не указанн,Не указанн,Не указанно,""Вывод моделей подготовленных Data Science-командой в продакшн, мониторинг моделей машинного обучения (*nix, docker, airflow, mlflow). Настройка и поддержка ML..."",""Хорошее знание Python, умение писать поддерживаемый код. Flask\Fast API. Git, Bash, Airflow, Docker. SQL на экспертном уровне (умение оптимизировать...""";
"670,Senior Python-разработчик,КРОК,Москва,Не указанн,Не указанн,Не указанно,""Разрабатывать платформу управления виртуализацией. Работать с libvirt-python, OvS/OVN. Участвовать в планировании и декомпозиции задач, своевременно их выполнять. "",""3-5 лет опыта разработки на Python. Знание Linux на уровне администрирования. Высокая культура кода (покрытие кода тестами, логирование, следование...""";
"671,Data scientist,Газпром нефть,Санкт-Петербург,Не указанн,Не указанн,Не указанно,""Лидирование проектов, постановка задач команде и контроль их выполнения. Проведение исследований и создание ML/DL моделей. Предварительная обработка и анализ..."",""Знание классического Machine Learning, матстатистики. Опыт использования стека DS на Python: Numpy, Pandas, SciPy, визуализация (Matplotlib, Plotly). Теоретические/практические знания...""";
672,Python Middle Developer (Flask),Itransition,Астана,Не указанн,Не указанн,Не указанно,Описание отсутствует,1+ years of experience in IT. Experience in Python web development with Flask framework. Experience with databases (SQL or...;
"673,ML-разработчик (Data Scientist),ООО АБК,Москва,Не указанн,Не указанн,Не указанно,""Разработка и поддержка моделей машинного обучения на ключевых проектах. Взаимодействие с внутренними и внешними заказчиками в рамках постановки задачи, пилотирования..."",""Умеет писать качественный и понятный код на Python. Владеет опытом работы с БД: MS SQL, PostgreSQL. Умеет строить модели машинного...""";
"674,Data Scientist (Рекламные технологии),VK,""Москва, Аэропорт"",Не указанн,Не указанн,Не указанно,""Основная разработка серверной части ведется на С++17 с привлечением Python и Golang, для исследования моделей в офлайне используем Python..."",""Понимание основ теории вероятностей и математической статистики. Уверенное владение SQL, написание аналитических запросов. Общее представление об основных алгоритмах машинного обучения...""";
"675,Продуктовый аналитик,HR Prime,Москва,Не указанн,Не указанн,Не указанно,""Что по задачам: ⁃ строить дашборды и воронки, создавать новые метрики и улучшать существующие. ⁃ проводить А/Б тесты, ad-hoc запросы. ⁃ "",Что хотелось бы видеть в плане опыта: ⁃ от 2 лет в продуктовой аналитике. ⁃ опыт проведения А/Б тестов от начала...";
"676,Senior ML Research Engineer (Smart Watch),Samsung Research Russia,""Москва, Савёловская"",Не указанн,Не указанн,Не указанно,Проект: Разработка ML алгоритмов на основе данных сенсоров умных часов. Задачи: ML R&D на основе временных рядов (предсказание времени...,""Пожелания к кандидату: Высшее техническое образование (наличие ученой степени приветствуется). Python (scikit-learn, numpy, scipy, pandas etc.). Опыт предобработки и...""";
"677,Data Scientist ( Аналитик данных ),ФосАгро,Москва,Не указанн,Не указанн,Не указанно,Коммуницировать с Заказчиками и Техническими специалистами. Переводить требования бизнеса в математическую постановку задачи. Участвовать в разработке витрин данных. ,""Знания линейной алгебры, теории вероятности, статистики. Опыт работы с Python и основными библиотеками для анализа данных. Понимание принципов работы алгоритмов...""";
"678,Рython Вackend developer (Middle),ООО Лаборатория Наносемантика,Москва,120000,200000,[' руб.'],""Поддержка существующих сервисов (Django, Flask, FastAPI). Разработка и поддержка новых сервисов. Оптимизация существующего кода."",Уверенное знание Python (опыт работы от 3х лет). Уверенное знание Linux. Опыт разработки веб-приложений с использованием фреймворков: Django...";
"679,Data scientist / разработчик-исследователь (NLP),VK,""Москва, Аэропорт"",Не указанн,Не указанн,Не указанно,Исследование данных. Создание признаков для моделей на основе сырых данных. Построение моделей машинного обучения. Создание продуктов на основе данных.,Опыт работы с NLP — от 2 лет. Опыт обработки больших данных. Опыт работы со стеком BigData.";
"680,ML инженер (направление разработки программных инструментов MLOps/ModelOps),Банк Хоум Кредит,Москва,Не указанн,Не указанн,Не указанно,""R&D нестандартных финтех ML-моделей на табличных данных (например, causal inference, анализ выживаемости, разновидности регрессии, обучение с подкреплением). "",Законченное высшее образование либо обучение на старших курсах по направлению прикладная математика и информатика. Глубокое понимание методов прикладной математической статистики...";
