,Должность,Компания,Город,Минимальная заработная плата,Максимальная заработная плата,Валюта,Описание вакансии,Требования к соискателю;
"59,Middle Python разработчик (Django),МедРокет,Краснодар,160000,240000,[' руб.'],""Приветствуем вовлеченность разработчиков в бизнес, а не просто написание кода по ТЗ. Ценим готовность брать ответственность и делиться опытом с..."",Возможность напрямую влиять на продукт и принимать технические решения. Опыт разработки на Python3. Опыт работы с Django. ";
"60,Data scientist,НАО Финансовые системы,""Москва, Минская"",150000,300000,[' руб.'],Разработка скоринг системы. Поиск и обработка гипотез для улучшения клиентских метрик. Оптимизация работы уже имеющихся отчётов. Оптимизация DWH. ,""Отличные знания мат. анализа, лин. алгебры, статистики. Отличные знания Python и библиотек для data scient (pandas, numpy, matplotlib и т...""";
"61,Middle Python/Go developer,Reputation House,Астана,150000,300000,[' руб.'],Осуществление поддержки существующего приложения. Реализация нового функционала.,""Python от двух лет работы. Go от года работы. SQL. Clickhouse (знание является преимуществом, но не критично). Docker (базовые навыки). """;
"62,Artificial Intelligence / Machine Learning Engineer,KIVORK,Астана,Не указанн,Не указанн,Не указанно,""Разрабатывать модели машинного обучения для различных инструментов. Разрабатывать и внедрять алгоритмы анализа, охватывая широкий спектр систем. Взаимодействовать с другими командами..."",""3+ Опыт работы в сфере машинного обучения (ML). Навык работы с Python, Matlab, R и др. Знание техник и...""";
"63,Python developer,Teachbase,Москва,Не указанн,Не указанн,Не указанно,""Среди них — Сбербанк, банк «Точка», Газпром нефть, Гемотест, Skyeng, Яндекс, Сколково, World Class, М.Видео. - Разработка проектов на Python / Django различной..."",Опыт коммерческой разработки на Python3 от 2 лет. Знание HTTP протокола. Опыт работы с фреймворками Django и Django Rest...";
"64,С++ Developer (Python),ООО МКО Системы,""Москва, Курская"",150000,Не указанн,[' руб.'],Реализация и поддержка функционала на C++ по извлечению и расшифровыванию данных из мобильных устройств на основе Python прототипов. ,С опытом программирования на С++. С опытом программирования на Python. С опытом работы с алгоритмами шифрования и хеширования данных.";
"65,Python разработчик (аккредитованная компания),Ассоциация IPChain,Москва,270000,Не указанн,[' руб.'],""...придется читать) на Python (у нас 3.8). Участие в дальнейшей поддержке и развитии продукта на Python. Оценка, декомпозиция задач. "",От 4 лет опыта разработки на Python 3. Опыт работы с асинхронными фреймворками. Опыт работы с микросервисной архитектурой и монолитом. ";
66,Junior/Middle Backend-разработчик на Ruby,ООО АСГК ГРУПП,Казань,110000,150000,[' руб.'],Описание отсутствует,Базовое знание HTML+CSS+JS. Умение документировать код. Будет плюсом: Опыт работы с серверным администрированием. Знание Python. Английский (B1-B2).;
"67,Ментор на курс Python,ООО Девман,Москва,Не указанн,Не указанн,Не указанно,""Отвечать на вопросы учеников. Иногда будут """"нубские"""", типа """"мой код не работает"""". Иногда посложнее, типа """"в чём преимущества и недостатки..."",""Мотивировать и общаться в дружелюбной манере. Крутой опыт в резюме. Бесплатное прохождение наших курсов, если будет желание.""";
"68,Middle Python developer,ООО WaveAccess,Владикавказ,Не указанн,Не указанн,Не указанно,Описание отсутствует,""Что мы ожидаем от кандидата: Уверенное знание и опыт коммерческой разработки на Python. Хорошее знание одного из фреймворков: Flask, FastAPI...""";
"69,Junoir backend developer (Python),Emphasoft,Баку,60000,Не указанн,[' руб.'],""Можешь принимать и вовремя давать обратную связь по поводу того, что происходит в проекте. Дорабатывать и сопровождать проекты."",""Знаешь Python и имеешь опыт написания pet-проектов. Понимаешь СУБД и можешь создавать запросы (SQL, MySQL - желательно). Знаешь алгоритмы и...""";
"70,AI / ML Specialist,DEEPSOUND,Новосибирск,Не указанн,Не указанн,Не указанно,Система наблюдения и диагностики заболеваний лошадей. Система анализа речи и эмоций человека.,""Системный подход. Стремление к идеалу. ПРОФЕССИОНАЛЬНЫЕ НАВЫКИ. Знание языка Python. Понимание архитектур RNN, CNN, Transformers. Опыт работы в PyTorch. """;
"71,Python / Go Разработчик,Сбер. IT,""Москва, Кутузовская и еще 1 "",Не указанн,Не указанн,Не указанно,""Разрабатывать API для мобильных, веб-приложений и внутренних сервисов на Python. Интегрироваться с внутренними системами банка и внешними системами авторизации. "",""Опыт разработки на Python 3.Х/Golang. Понимание механики языка Python и сопутствующих инструментов (pytest, mypy, poetry, flake8). """;
